id,quantity,value,unit,uncertainty,source,command,note
G10,线性化 D 解析解 vs 非线性数值 max|dC| (t=1800s),0.041912741835282,kg/kg,vs 有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,结论: 水分不能用解析解
G11,该偏差相对四位小数阈值的倍数,838.25483670563,倍,解析比值,run q1_analytic_fit,python src/q1_analytic_fit.py,阈值 = 5e-5 kg/kg
G12_r0,"线性化含水率 C(r=0.0cm,t=1800s)",2.5499921346051,kg/kg,线性化解析,run q1_analytic_fit,python src/q1_analytic_fit.py,
G13_r0,"非线性含水率 C(r=0.0cm,t=1800s)",2.5499923898456,kg/kg,有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,
G15_r0,"线性化误差 C_lin-C_nonlin (r=0.0cm,t=1800s)",-2.5524049585002e-07,kg/kg,解析差值,run q1_analytic_fit,python src/q1_analytic_fit.py,定义: 线性化减非线性
G12_r5,"线性化含水率 C(r=0.5cm,t=1800s)",2.5497117744956,kg/kg,线性化解析,run q1_analytic_fit,python src/q1_analytic_fit.py,
G13_r5,"非线性含水率 C(r=0.5cm,t=1800s)",2.5497237502513,kg/kg,有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,
G15_r5,"线性化误差 C_lin-C_nonlin (r=0.5cm,t=1800s)",-1.1975755688454e-05,kg/kg,解析差值,run q1_analytic_fit,python src/q1_analytic_fit.py,定义: 线性化减非线性
G12_r10,"线性化含水率 C(r=1.0cm,t=1800s)",2.5376319767887,kg/kg,线性化解析,run q1_analytic_fit,python src/q1_analytic_fit.py,
G13_r10,"非线性含水率 C(r=1.0cm,t=1800s)",2.5382989973296,kg/kg,有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,
G15_r10,"线性化误差 C_lin-C_nonlin (r=1.0cm,t=1800s)",-0.00066702054087031,kg/kg,解析差值,run q1_analytic_fit,python src/q1_analytic_fit.py,定义: 线性化减非线性
G12_r15,"线性化含水率 C(r=1.5cm,t=1800s)",2.3653279822793,kg/kg,线性化解析,run q1_analytic_fit,python src/q1_analytic_fit.py,
G13_r15,"非线性含水率 C(r=1.5cm,t=1800s)",2.3754695068898,kg/kg,有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,
G15_r15,"线性化误差 C_lin-C_nonlin (r=1.5cm,t=1800s)",-0.01014152461055,kg/kg,解析差值,run q1_analytic_fit,python src/q1_analytic_fit.py,定义: 线性化减非线性
G12_r20,"线性化含水率 C(r=2.0cm,t=1800s)",1.5521530565819,kg/kg,线性化解析,run q1_analytic_fit,python src/q1_analytic_fit.py,
G13_r20,"非线性含水率 C(r=2.0cm,t=1800s)",1.5102403147466,kg/kg,有限体积,run q1_analytic_fit,python src/q1_analytic_fit.py,
G15_r20,"线性化误差 C_lin-C_nonlin (r=2.0cm,t=1800s)",0.041912741835282,kg/kg,解析差值,run q1_analytic_fit,python src/q1_analytic_fit.py,定义: 线性化减非线性
G14,D 在 t=1800s 计算域内的最大/最小之比,0.78640792142301,-,解析比值,run q1_analytic_fit,python src/q1_analytic_fit.py,>1 即 D 不是常数
G16,D(C0)/D(0.15),266.2175217353,倍,解析比值,run q1_analytic_fit,python src/q1_analytic_fit.py,干壳效应量级
