key,quantity,value,unit,source
SP_q4_tt_dry_n_pos,问题四谱 t=t_dry n_pos,0.0,-,q45_stiffness.py
SP_q4_tt_dry_n_neg,问题四谱 t=t_dry n_neg,402.0,-,q45_stiffness.py
SP_q4_tt_dry_abs_max,问题四谱 t=t_dry abs_max,101.74625421335176,-,q45_stiffness.py
SP_q4_tt_dry_abs_min,问题四谱 t=t_dry abs_min,1.2299807102700237e-05,-,q45_stiffness.py
SP_q4_tt_dry_stiff,问题四谱 t=t_dry stiff,8272182.918300801,-,q45_stiffness.py
EXP_q3_dtexp,问题三 (附录3) 显式稳定步长,0.022549003763401538,s,q45_stiffness.py
EXP_q3_N,问题三 (附录3) 显式总步数,9167607.386354707,1,q45_stiffness.py
EXP_q3_Nratio,问题三 (附录3) 显式步数 / BDF 步数,2778.9049367549887,1,q45_stiffness.py
EXP_q3_lam_max_est,问题三 (附录3) 谱估计 |lam|max,64.39987357920072,1/s,q45_stiffness.py
EXP_q3_lam_min_est,问题三 (附录3) 谱估计 |lam|min,1.1568146738430367e-05,1/s,q45_stiffness.py
EXP_q4_dtexp,问题四 (附录4) 显式稳定步长,0.019656743292054753,s,q45_stiffness.py
EXP_q4_N,问题四 (附录4) 显式总步数,9355909.576045338,1,q45_stiffness.py
EXP_q4_Nratio,问题四 (附录4) 显式步数 / BDF 步数,2334.8913341765256,1,q45_stiffness.py
EXP_q4_lam_max_est,问题四 (附录4) 谱估计 |lam|max,73.875704127805,1/s,q45_stiffness.py
EXP_q4_lam_min_est,问题四 (附录4) 谱估计 |lam|min,1.5285998713622307e-05,1/s,q45_stiffness.py
E_app3_dlnD_dkD10,附录E app3 dlnD_dkD10,0.30000000000000004,-,q45_stiffness.py
E_app3_dlnD_dEA10,附录E app3 dlnD_dEA10,1.1913971839702926,-,q45_stiffness.py
E_app3_dlnD_dT1K,附录E app3 dlnD_dT1K,0.0368682402590219,-,q45_stiffness.py
E_app3_ratio_EA_over_kD,附录E app3 ratio_EA_over_kD,3.9713239465676415,-,q45_stiffness.py
E_app3_dEA_10pct_K,附录E app3 dEA_10pct_K,385.0,-,q45_stiffness.py
E_app4_dlnD_dkD10,附录E app4 dlnD_dkD10,0.2,-,q45_stiffness.py
E_app4_dlnD_dEA10,附录E app4 dlnD_dEA10,1.1913971839702926,-,q45_stiffness.py
E_app4_dlnD_dT1K,附录E app4 dlnD_dT1K,0.0368682402590219,-,q45_stiffness.py
E_app4_ratio_EA_over_kD,附录E app4 ratio_EA_over_kD,5.956985919851463,-,q45_stiffness.py
E_app4_dEA_10pct_K,附录E app4 dEA_10pct_K,385.0,-,q45_stiffness.py
E_jac_n,Jacobian FD 核验的显著分量数,148.0,1,q45_stiffness.py
E_jac_maxrel,Jacobian FD 核验最大相对误差,1.417640326307738e-07,1,q45_stiffness.py
