T_C,T_K,p_sat_Pa,dp_sat_dT_Pa_per_K,v_f_m3_per_kg,v_g_m3_per_kg,h_fg_ref_J_per_kg,L_clapeyron_J_per_kg,L_CC_J_per_kg,err_CC_pct,cp_liquid_J_per_kgK,cp_vapor_ideal_J_per_kgK,cp_vapor_real_J_per_kgK,dL_dT_numeric_J_per_kgK
20.00,293.15,2339.318183,144.912131,1.0018415839e-03,5.7756701287e+01,2453519.2594,2453519.3610,2456879.9413,0.136974,4184.3605,1863.1807,1905.8994,-2367.1672
25.00,298.15,3169.929339,188.973690,1.0030056550e-03,4.3337312511e+01,2441676.1749,2441676.2674,2445738.8422,0.166388,4181.5996,1864.3811,1911.8234,-2370.4694
30.00,303.15,4246.970837,243.791798,1.0044132134e-03,3.2878284928e+01,2429811.2299,2429811.3142,2434689.8634,0.200782,4180.0837,1865.6459,1918.0103,-2375.8611
35.00,308.15,5629.016107,311.318454,1.0060452876e-03,2.5205264908e+01,2417914.5853,2417914.6622,2423736.5335,0.240784,4179.5047,1866.9751,1924.5185,-2383.1178
40.00,313.15,7384.938074,393.722098,1.0078865964e-03,1.9515143983e+01,2405977.2868,2405977.3571,2412884.0656,0.287067,4179.6464,1868.3683,1931.4210,-2392.1050
45.00,318.15,9594.998844,493.390177,1.0099247434e-03,1.5252071575e+01,2393990.8796,2393990.9438,2402138.9119,0.340354,4180.3600,1869.8252,1938.8020,-2402.7537
50.00,323.15,12351.945838,612.929157,1.0121496310e-03,1.2026914869e+01,2381947.1265,2381947.1853,2391508.4178,0.401407,4181.5477,1871.3452,1946.7529,-2415.0433
