param,unit,qoi,y_base,y_plus10,y_minus10,S_plus10,S_minus10,S_central
h,W/(m^2 K),T中心(1800s),306.72612920898365,306.9741622845268,306.44824622297267,0.008086467109366101,0.009059645056246502,0.008573056082806303
h,W/(m^2 K),T表面(1800s),309.93596062591587,310.26601396395677,309.5592059910613,0.010649081744962893,0.0121558864642146,0.011402484104588747
h,W/(m^2 K),C表面(1800s),1.5102656575442506,1.5102656575442506,1.5102656575442506,0.0,-0.0,0.0
h,W/(m^2 K),C体积平均(1800s),2.293556490256982,2.293556490256982,2.293556490256982,0.0,-0.0,0.0
hm,m/s,T中心(1800s),306.72612920898365,306.72612920898365,306.72612920898365,0.0,-0.0,0.0
hm,m/s,T表面(1800s),309.93596062591587,309.93596062591587,309.93596062591587,0.0,-0.0,0.0
hm,m/s,C表面(1800s),1.5102656575442506,1.440924630214737,1.584374624555854,-0.4591313255594038,-0.49070153082940066,-0.4749164281944022
hm,m/s,C体积平均(1800s),2.293556490256982,2.2766597881001984,2.3116825769168576,-0.07367031171266337,-0.07903047837223694,-0.07635039504245016
D0,m^2/s,T中心(1800s),306.72612920898365,306.72612920898365,306.72612920898365,0.0,-0.0,0.0
D0,m^2/s,T表面(1800s),309.93596062591587,309.93596062591587,309.93596062591587,0.0,-0.0,0.0
D0,m^2/s,C表面(1800s),1.5102656575442506,1.5413463684167803,1.4752257654381602,0.20579631614657876,0.23201144733083962,0.2189038817387092
D0,m^2/s,C体积平均(1800s),2.293556490256982,2.28993865661566,2.2976657581660866,-0.015773902481541206,-0.017916575966456336,-0.016845239223998772
k,W/(m K),T中心(1800s),306.72612920898365,306.9421439516353,306.47165944359466,0.007042593443496448,0.008296318479460559,0.007669455961478502
k,W/(m K),T表面(1800s),309.93596062591587,309.8936848121042,309.9874364873384,-0.0013640177063124436,-0.0016608547558853817,-0.0015124362310989124
k,W/(m K),C表面(1800s),1.5102656575442506,1.5102656575442506,1.5102656575442506,0.0,-0.0,0.0
k,W/(m K),C体积平均(1800s),2.293556490256982,2.293556490256982,2.293556490256982,0.0,-0.0,0.0
rho,kg/m^3,T中心(1800s),306.72612920898365,306.25702131984883,307.2512981795912,-0.01529403087844525,-0.017121755227110347,-0.016207893052777797
rho,kg/m^3,T表面(1800s),309.93596062591587,309.64531611785907,310.25781378703175,-0.009377566496957751,-0.01038450525282383,-0.00988103587489079
rho,kg/m^3,C表面(1800s),1.5102656575442506,1.5102656575442506,1.5102656575442506,0.0,-0.0,0.0
rho,kg/m^3,C体积平均(1800s),2.293556490256982,2.293556490256982,2.293556490256982,0.0,-0.0,0.0
cp,J/(kg K),T中心(1800s),306.72612920898365,306.25702131984883,307.2512981795912,-0.01529403087844525,-0.017121755227110347,-0.016207893052777797
cp,J/(kg K),T表面(1800s),309.93596062591587,309.64531611785907,310.25781378703175,-0.009377566496957751,-0.01038450525282383,-0.00988103587489079
cp,J/(kg K),C表面(1800s),1.5102656575442506,1.5102656575442506,1.5102656575442506,0.0,-0.0,0.0
cp,J/(kg K),C体积平均(1800s),2.293556490256982,2.293556490256982,2.293556490256982,0.0,-0.0,0.0
T0,K,T中心(1800s),306.72612920898365,314.991199247051,298.46105917091603,0.2694609050550122,0.26946090505502146,0.26946090505501685
T0,K,T表面(1800s),309.93596062591587,314.538080898045,305.3338403537864,0.14848616671763878,0.14848616671764978,0.14848616671764428
T0,K,C表面(1800s),1.5102656575442506,1.5102656575442506,1.5102656575442506,0.0,-0.0,0.0
T0,K,C体积平均(1800s),2.293556490256982,2.293556490256982,2.293556490256982,0.0,-0.0,0.0
C0,kg/kg,T中心(1800s),306.72612920898365,306.72612920898365,306.72612920898365,0.0,-0.0,0.0
C0,kg/kg,T表面(1800s),309.93596062591587,309.93596062591587,309.93596062591587,0.0,-0.0,0.0
C0,kg/kg,C表面(1800s),1.5102656575442506,1.675833523695173,1.3444080038009854,1.0962830633396112,1.0982018488916452,1.0972424561156282
C0,kg/kg,C体积平均(1800s),2.293556490256982,2.5209531047895513,2.0661905025318927,0.9914585295742628,0.9913249954424006,0.9913917625083316
