id,quantity,value,unit,uncertainty,source,command,note
W11_dC_prod_enddir,二维 2d_enddir 中截面 max|dC| (vs 生产 FEM),4.7470043411213e-05,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dT_prod_enddir,二维 2d_enddir 中截面 max|dT| (vs 生产 FEM),0.0018668594439646,K,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_argmax_off_enddir,二维 2d_enddir argmax 偏离中截面轴心采样数,34,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_argmax_last_t_enddir,二维 2d_enddir argmax 最后一次偏离时刻 (t≈0 并列噪声),1620,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dt_axial_consist,轴向收敛 |dt(n50)-dt(n25)|,0.55420383333694,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dt_scheme,离散格式差 t_1dFV - t_prod,-4.2034468096681,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dC_scheme,"离散格式差 max|dC| (FV vs FEM, 同 M)",2.671643032981e-05,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dT_scheme,"离散格式差 max|dT| (FV vs FEM, 同 M)",0.0001236375412077,K,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_dt_prod,二维主算例 vs 生产基准 t2D(n50)-t_prod,-11.881645337533,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_z_dip_cm,t_dry 轴线轴向 dip 范围 (C<0.145),2.25,cm,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_C_end_axis,"t_dry 端面轴线角点 C(0,0)",0.052508427436347,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_C_ax_1cm,"t_dry C(0, z=1cm)",0.13207576122305,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_C_ax_2cm,"t_dry C(0, z=2cm)",0.14328843330659,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_C_ax_5cm,"t_dry C(0, z=5cm)",0.14941811871729,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_C_mid_axis,"t_dry C(0, 中截面)",0.15000000065231,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_water_resid,二维水量收支相对残差,3.5029850603637e-05,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_wloss_2d,二维全程失水率,0.95240650446361,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_wloss_1d,一维全程失水率,0.95131248326711,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_2d_steps,二维主算例 (n50) 步数,616,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_2d_nlu,二维主算例 (n50) LU 分解次数,780,-,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_max_dt_axial,全部二维变体最大 |t2D-t1D|,11.448156427708,s,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_max_dt_axial_h,全部二维变体最大 |t2D-t1D|,0.0031800434521412,h,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
W11_max_dC_mid,全部二维变体中截面最大 |dC|,2.4627901163754e-05,kg/kg,,outputs/q3_2d_verify.log,python src/q3_2d_verify.py --full,
