id,quantity,value,unit,uncertainty,source,command,note
V6_radau_diff,W6 Radau 与 BDF 的 t_dry 差,-0.031550220679492,s,,outputs/q3_verify.log,python src/q3_verify.py,
V6_lsoda,W6 LSODA t_dry,206720.37436616,s,,outputs/q3_verify.log,python src/q3_verify.py,
V6_lsoda_diff,W6 LSODA 与 BDF 的 t_dry 差,-0.039090134727303,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tm1,W7 Tbar = 49 degC t_dry,213431.73191559,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tm1_dh,W7 Tbar = 49 degC 的 t_dry 变化,1.8642551275814,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tp1,W7 Tbar = 51 degC t_dry,200302.31480892,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Tp1_dh,W7 Tbar = 51 degC 的 t_dry 变化,-1.7828051798279,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Cm10,W7 Cbar = 0.045 (-10%) t_dry,206300.25710191,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Cm10_dh,W7 Cbar = 0.045 (-10%) 的 t_dry 变化,-0.11671009844005,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Cp10,W7 Cbar = 0.055 (+10%) t_dry,207191.83756332,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_Cp10_dh,W7 Cbar = 0.055 (+10%) 的 t_dry 变化,0.13095114083912,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_tau0,W7 tau = 0 s t_dry,206720.42124954,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_tau0_dh,W7 tau = 0 s 的 t_dry 变化,2.1647894269942e-06,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_tau1800,W7 tau = 1800 s t_dry,206720.48306741,s,,outputs/q3_verify.log,python src/q3_verify.py,
V7_s_tau1800_dh,W7 tau = 1800 s 的 t_dry 变化,1.9336421577868e-05,h,,outputs/q3_verify.log,python src/q3_verify.py,
V7_dtdT,W7 dt_dry/dTbar 敏感性系数,-1.8235301537046,h/degC,,outputs/q3_verify.log,python src/q3_verify.py,
V7_dtdC,W7 dt_dry/dCbar 敏感性系数,24.766123927917,h/(kg/kg),,outputs/q3_verify.log,python src/q3_verify.py,
V8_C_min,W8 含水率最小值,0.052658776000282,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V8_C_max,W8 含水率最大值,2.55,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V8_C_mono,W8 C 时间单调性最大正增量,0,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V8_maxC_mono,W8 maxC 单调性最大正增量,0,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V8_W0,W8 初始总水量 W(0) (per 2 pi),0.00051,m^2,,outputs/q3_verify.log,python src/q3_verify.py,
V8_W_dry,W8 终态总水量 W(t_dry) (per 2 pi),2.483053210898e-05,m^2,,outputs/q3_verify.log,python src/q3_verify.py,
V8_loss,W8 全程失水率,95.131268213925,%,,outputs/q3_verify.log,python src/q3_verify.py,
V8_budget,W8 水量收支相对残差,2.2969626655193e-07,-,,outputs/q3_verify.log,python src/q3_verify.py,
V9_argmax_nz,W9 argmax 非 0 的 60s 采样点数,0,-,,outputs/q3_verify.log,python src/q3_verify.py,
V9_maxC_dry,W9 终态 max_i C_i 与 C* 之差,0,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V10_nbelow60,W10 60s 网格低于阈值的样本数,0,-,,outputs/q3_verify.log,python src/q3_verify.py,
V10_gpre_min,W10 末 2h 内 t<t_dry 段 g 的最小值,2.9189493058746e-07,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V10_g_end,W10 终点 |g(t_dry)|,0,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V10_fin_mono,W10 末 2h maxC 最大正增量,-2.9189493058746e-07,kg/kg,,outputs/q3_verify.log,python src/q3_verify.py,
V10_slope,W10 终点下降速率 |dC0/dt|,2.9205564570899e-07,kg/(kg s),,outputs/q3_verify.log,python src/q3_verify.py,
V10_cond,W10 条件数 |dt_dry/dC|,3424005.0301798,s,,outputs/q3_verify.log,python src/q3_verify.py,
